code,GDP,GDP_per_capita,tier
ETH,163697927593.982,1293.7780075976,tier3
EUU,18349388450765.6,40823.8762634762,tier1
FCS,1906801170087.86,1828.70835941923,tier3
FIN,300187202696.084,53755.9117362796,tier1
FJI,5494797540.73365,5868.1591677839,tier2
FRA,3030904089607.9,44460.8178457009,tier1
FRO,0.0,0.0,tier3
FSM,460000000.0,3992.22384225509,tier3
GAB,20516134388.6608,8420.10205701827,tier2
GBR,3340032380668.04,48866.6039600298,tier1
GEO,30535530479.0227,8120.36344318242,tier2
GHA,76370394412.4163,2238.15802077213,tier3
GIB,0.0,0.0,tier3
GIN,23612295818.0961,1663.93780748118,tier3
GMB,2339904156.79214,843.765742570282,tier3
GNB,1966461400.35833,914.275153804104,tier3
GNQ,12116922539.4112,7066.61659257734,tier2
GRC,238206312632.528,22990.0135680461,tier1
GRD,1320334235.58897,10463.64593954,tier2
GRL,0.0,0.0,tier3
GTM,102050473863.636,5797.52159594526,tier2
GUM,0.0,0.0,tier3
GUY,16786302158.2734,20626.1991490567,tier1
HIC,67653743404264.1,48220.0331638567,tier1
HKG,382054574298.529,50696.5903184046,tier1
HND,34400509852.0436,3247.23105462683,tier3
HPC,1130472157492.99,1245.01965554275,tier3
HRV,82688842717.3926,21459.7847808036,tier1
HTI,19850829757.7471,1693.06874328693,tier3
HUN,212388906458.724,22147.2097290479,tier1
IBD,38733043068564.9,7845.38536226529,tier2
IBT,41559721641424.8,6094.02389348234,tier2
IDA,2828041013610.35,1502.11784608836,tier3
IDB,1044015231915.96,1676.98958404833,tier3
IDN,1371171152331.16,4940.54980501156,tier3
IDX,1786070910237.13,1417.34865873319,tier3
IMN,0.0,0.0,tier3
IND,3549918918777.53,2484.8454294403,tier3
INX,0.0,0.0,tier3
IRL,545629450403.735,103684.880801837,tier1
IRN,401504514718.718,4502.5463291805,tier3
IRQ,250842782139.464,5512.47571978422,tier2
ISL,31020032583.1972,78811.0583922693,tier1
ISR,509901495702.103,52261.6761509633,tier1
ITA,2254851212731.8,38373.1660497534,tier1
JAM,19423355367.2372,6874.20028399387,tier2
JOR,50813642348.6746,4482.08602630337,tier3
JPN,4212945159781.4,33834.3921056453,tier1
KAZ,261421121085.572,13136.6229097144,tier2
KEN,107440575838.048,1949.89896909713,tier3
KGZ,13987627908.8381,1969.86648107793,tier3
KHM,31772759998.8571,1875.07148192948,tier3
KIR,279034355.108421,2089.91016071918,tier3
KNA,1077033111.11111,22553.3056457148,tier1
KOR,1712792854202.37,33121.3712885508,tier1
KWT,161772221950.942,37533.2177177327,tier1
LAC,6050580948759.95,10070.4433755923,tier2
LAO,15843155731.2552,2075.40141406441,tier3
LBN,17937256175.141,3350.29710420961,tier3
LBR,4332000000.0,799.501400511629,tier3
LBY,50491722445.7773,7329.97654106843,tier2
LCA,2519925938.52447,13980.0940828315,tier2
LCN,7094329636592.52,10681.7330935615,tier2
LDC,1504251159792.01,1307.65017453078,tier3
LIC,646797730009.089,894.622389496696,tier3
LIE,0.0,0.0,tier3
LKA,84356860421.13,3827.96480560557,tier3
LMC,7384750127842.02,2413.66026325337,tier3
LMY,37425214512640.0,5676.38961014368,tier2
LSO,2046039024.45854,878.008505473734,tier3
LTE,28341396914858.3,12180.2442197888,tier2
LTU,77836396962.772,27102.7815282971,tier1
LUX,85755006123.5976,128259.402583282,tier1
LVA,43627078481.287,23184.3116680149,tier1
MAC,47061843715.8565,66835.0643341913,tier1
MAF,0.0,0.0,tier3
MAR,141109373209.414,3672.1123046875,tier3
MCO,0.0,0.0,tier3
MDA,16539436547.295,6650.64795654292,tier2
MDG,16031702914.9195,528.650154757007,tier3
MDV,6600000000.0,12667.4356695795,tier2
MEA,4287684126920.02,8561.88648477206,tier2
MEX,1788886821046.81,13926.1136190914,tier2
MHL,284000000.0,6762.54881417278,tier2
MIC,36786942112904.5,6266.77743233869,tier2
MKD,14761237042.2057,8146.46797547749,tier2
MLI,20904898296.2501,897.448670290571,tier3
MLT,20956999452.4317,37882.2651856816,tier1
MMR,64815031669.0952,1187.56706423461,tier3
MNA,1646554468701.67,3821.57895660603,tier3
MNE,7404541964.50779,12016.907421906,tier2
MNG,19872180369.6275,5764.80281276063,tier2
MNP,0.0,0.0,tier3
MOZ,20624597846.5495,608.442707550256,tier3
MRT,10452577062.7581,2149.41408725335,tier3
MUS,14397127281.3829,11416.858992993,tier2
MWI,14084341062.3675,672.869702222595,tier3
MYS,399648828546.504,11648.6741574144,tier2
NAC,29509296092073.6,78675.4809268757,tier1
NAM,12351024843.7467,4742.78382677745,tier3
NCL,0.0,0.0,tier3
NER,16819170420.5653,618.28722904313,tier3
NGA,362814951696.073,1621.12351497744,tier3
NIC,17829215283.7997,2530.29107203624,tier3
NLD,1118124749886.29,62536.7320298151,tier1
NOR,485513316503.63,87961.7806135072,tier1
NPL,40908073366.8455,1324.03198433372,tier3
NRU,154127798.193541,12060.0781059109,tier2
NZL,253465703232.146,48527.828920018,tier1
OED,64098865773303.0,46280.5806131269,tier1
OMN,108192457737.321,23295.3299592198,tier1
OSS,234402049500.764,16459.9661871969,tier2
PAK,338368455317.876,1407.02135059495,tier3
PAN,83382400000.0,18661.7673290605,tier2
PER,267603248655.253,7789.87097514036,tier2
PHL,437146372729.942,3725.55120488081,tier3
PLW,263020733.717011,14565.3302534617,tier2
PNG,30932496249.7917,2994.4533269188,tier3
POL,811229100687.566,22112.861574706,tier1
PRE,1562533897053.54,1466.18967475136,tier3
PRI,117902300000.0,36779.0594913858,tier1
PRK,0.0,0.0,tier3
PRT,287080013574.497,27275.1115544691,tier1
PRY,42956263543.9482,6260.45519099666,tier2
PSE,17396300000.0,3367.60699023864,tier3
PSS,11232231820.2487,4194.68736938507,tier3
PST,59851800976561.2,53464.0015221955,tier1
PYF,0.0,0.0,tier3
QAT,0.0,0.0,tier3
ROU,351002579629.67,18419.4187120644,tier2
RUS,2021421476035.42,13817.0458984375,tier2
RWA,14097768647.6695,1000.21892281433,tier3
SAS,4475567635413.06,2308.71977654436,tier3
SAU,1067582933333.33,28894.963351808,tier1
SDN,109327023588.732,2272.48559570313,tier3
SEN,31013986429.1861,1745.97206754147,tier3
SGP,501427500080.059,84734.2559206054,tier1
SLB,1631286701.11516,2203.1791258997,tier3
SLE,3809832236.95959,433.37417433006,tier3
SLV,34015620000.0,5344.21439437871,tier2
SMR,0.0,0.0,tier3
SOM,11679800110.1523,643.750028806778,tier3
SRB,75187125426.7375,11360.9595106966,tier2
SSA,2030607752381.92,1635.24211286661,tier3
SSD,0.0,0.0,tier3
SSF,2032749202553.06,1636.80874120826,tier3
SST,298978248910.632,14884.7569105337,tier2
STP,603240748.954207,2601.79054652115,tier3
SUR,3782437296.04323,6069.02890083889,tier2
SVK,132793622283.071,24470.238537883,tier1
SVN,68216781410.5228,32163.5114152484,tier1
SWE,593267701033.408,56305.250200767,tier1
SWZ,4597855845.04276,3797.30120946164,tier3
SXM,1623165683.12849,39432.6381247356,tier1
SYC,2141450171.13932,17879.2396545075,tier2
SYR,0.0,0.0,tier3
TCA,1402054390.94734,30438.4175881929,tier1
TCD,13149325358.7383,719.384875157521,tier3
TEA,21124121301342.6,10023.2019952135,tier2
TEC,5466276097557.09,11952.6880645648,tier2
TGO,9171261835.06264,1012.9738726321,tier3
THA,514944993833.578,7171.80809318978,tier2
TJK,12060602008.8478,1188.99303811773,tier3
TKM,59887334844.0651,9190.67154341786,tier2
TLA,6772781697090.74,10439.5260704558,tier2
TLS,2243142908.46161,1648.64729020342,tier3
